selector,type,count,files
.cursor-pointer,class,0,""
.btn,class,0,""
.button,class,28,"app\error.jsx;app\notfound.jsx;app\taasta-parool\[token]\ResetPasswordForm.jsx;components\accessibility\AccessibilityModal.jsx;components\admin\RagAdminPanel.jsx;components\alalehed\ChatBody.jsx;components\alalehed\ChatBodyBackup.jsx;components\alalehed\ConversationDrawer.jsx;components\alalehed\KasutustingimusedBody.jsx;components\alalehed\PrivaatsusBody.jsx;components\alalehed\ProfiilBody.jsx;components\alalehed\RegistreerimineBody.jsx;components\alalehed\TellimusBody.jsx;components\alalehed\UnustasinParooliBody.jsx;components\alalehed\UuendaEpostiBody.jsx;components\ChatSidebar.jsx;components\effects\Components\Dock\Dock.jsx;components\HomePage.jsx;components\LoginModal.jsx;components\ui\ModalConfirm.jsx;components\ui\Toggle.jsx;messages\backup en.json;messages\backup et.json;messages\backup ru.json;messages\en.json;messages\et.json;messages\ru.json;temp_et_head.json"
.pin-keypad-all-wrapper,class,1,"components\LoginModal.jsx"
.05rem,class,2,"components\alalehed\ChatBody.jsx;components\alalehed\ChatBodyBackup.jsx"
.15rem,class,0,""
.pin-keypad-all,class,1,"components\LoginModal.jsx"
.5rem,class,10,"app\admin\rag\page.jsx;app\start\page.jsx;app\taasta-parool\[token]\ResetPasswordForm.jsx;components\admin\RagAdminPanel.jsx;components\alalehed\ChatBody.jsx;components\alalehed\ChatBodyBackup.jsx;components\alalehed\KasutusjuhendBody.jsx;components\alalehed\ProfiilBody.jsx;components\alalehed\UuendaEpostiBody.jsx;components\LoginModal.jsx"
.pin-keypad__button,class,1,"components\LoginModal.jsx"
.3rem,class,4,"app\start\page.jsx;components\admin\RagAdminPanel.jsx;components\alalehed\ChatBody.jsx;components\alalehed\ChatBodyBackup.jsx"
.25rem,class,3,"components\admin\RagAdminPanel.jsx;components\alalehed\ChatBody.jsx;components\alalehed\ChatBodyBackup.jsx"
.875rem,class,0,""
.18rem,class,0,""
.55,class,8,"app\api\chat\route.js;components\admin\RagAdminPanel.jsx;components\alalehed\ChatBody.jsx;components\alalehed\ChatBodyBackup.jsx;components\alalehed\ProfiilBody.jsx;components\Space.jsx;components\TextAnimations\CircularText\CircularText.jsx;components\ui\SotsiaalAILoader.jsx"
.25,class,11,"components\alalehed\ChatBody.jsx;components\alalehed\ChatBodyBackup.jsx;components\alalehed\KasutusjuhendBody.jsx;components\alalehed\ProfiilBody.jsx;components\SplashCursor.jsx;components\TextAnimations\CircularText\CircularText.jsx;components\ui\FancyCheckbox.jsx;components\ui\FancyRadio.jsx;components\ui\SotsiaalAILoader.jsx;package-lock.json;package.json"
.9rem,class,4,"components\admin\RagAdminPanel.jsx;components\alalehed\ChatBody.jsx;components\alalehed\ChatBodyBackup.jsx;components\alalehed\KasutusjuhendBody.jsx"
.16,class,10,"app\api\auth\password\reset\route.js;app\start\page.jsx;components\admin\RagAdminPanel.jsx;components\alalehed\ChatBody.jsx;components\backgrounds\ColorBends.jsx;components\backgrounds\Particles.jsx;components\effects\Backgrounds\FloatingLines\FloatingLines.jsx;components\ui\FancyCheckbox.jsx;lib\mailer.js;package-lock.json"
.22s,class,0,""
.pin-keypad__button--alt,class,1,"components\LoginModal.jsx"
.02,class,2,"components\alalehed\ChatBody.jsx;components\ui\SotsiaalAILoader.jsx"
.035,class,1,"components\backgrounds\Particles.jsx"
.88,class,0,""
