name,definitions,distinct_values,top_values
--opaque-panel-bg,15,7,"var(--subpage-card-bg) [3 files] || var(--workspace-elevated-card-bg) [3 files] || var(--mono-tooltip-surface) [1 files] || rgba(31, 33, 38, 0.99) [1 files] || var(--mobile-common-glass-surface-bg) [1 files]"
--opaque-panel-bg-hover,15,7,var(--subpage-card-bg-hover) [3 files] || var(--workspace-elevated-card-bg) [3 files] || var(--mono-tooltip-surface-hover) [1 files] || var(--opaque-panel-bg) [1 files] || var(--mobile-common-glass-surface-bg) [1 files]
--glass-surface-bg,14,12,"rgba(253, 249, 247, 0.36) [2 files] || rgba(21, 21, 21, 0.5) [1 files] || var(--home-panel-bg, rgba(251, 249, 246, 0.93)) [1 files] || var(--home-panel-bg, rgba(203, 190, 186, 0.79)) [1 files] || var(--home-panel-bg, rgba(16, 19, 24, 0.84)) [1 files]"
--documents-surface-panel-shadow,14,9,"none [2 files] || var(--glass-shell-shadow, none) [2 files] || 0 10px 24px rgba(0, 0, 0, 0.16) [1 files] || var(--glass-shell-shadow) [1 files] || var(--documents-panel-shadow) [1 files]"
--seg-card-shadow-selected,14,9,"var( --seg-card-shadow-hover, var(--seg-card-shadow) ) [4 files] || 0 0 0 1px rgba(var(--hc-accent-rgb),0.78) [1 files] || var(--input-shadow-hover) [2 files] || 0 0 0 1px rgba(var(--hc-accent-rgb), 0.64) [1 files] || none [1 files]"
--documents-surface-panel-bg,14,7,"var(--documents-glass-surface) [2 files] || transparent [1 files] || var(--documents-glass-sheen), var(--documents-glass-surface) [1 files] || var(--glass-ring-surface-bg) [1 files] || rgba(9, 14, 24, 0.62) [1 files]"
--wellbeing-dropdown-bg,14,7,"rgb(22, 27, 36) [1 files] || rgb(250, 246, 243) [1 files] || rgb(223, 211, 203) [1 files] || rgb(30, 33, 38) [1 files] || rgb(18, 26, 40) [1 files]"
--wellbeing-dropdown-bg-hover,14,7,"rgb(31, 38, 50) [1 files] || rgb(255, 255, 255) [1 files] || rgb(234, 224, 217) [1 files] || rgb(39, 42, 48) [1 files] || rgb(29, 41, 59) [1 files]"
--wellbeing-dropdown-item-bg,14,7,"rgb(31, 38, 50) [1 files] || rgb(255, 255, 255) [1 files] || rgb(239, 230, 224) [1 files] || rgb(39, 42, 48) [1 files] || rgb(29, 41, 59) [1 files]"
--wellbeing-dropdown-item-bg-hover,14,7,"rgb(38, 46, 60) [1 files] || rgb(248, 244, 241) [1 files] || rgb(248, 241, 237) [1 files] || rgb(47, 51, 59) [1 files] || rgb(37, 52, 74) [1 files]"
--wellbeing-dropdown-selected-bg,14,7,"rgb(8, 12, 18) [1 files] || rgba(26, 31, 40, 0.92) [1 files] || rgba(31, 38, 50, 0.9) [1 files] || rgb(10, 13, 18) [1 files] || rgb(8, 14, 24) [1 files]"
--rail-tooltip-bg,13,11,"var(--chat-rail-tooltip-bg) [2 files] || var(--mono-tooltip-surface) [1 files] || var(--chat-rail-tooltip-bg, var(--opaque-panel-bg, rgba(255, 250, 248, 1))) [1 files] || var(--chat-rail-tooltip-bg, var(--btn-primary-bg)) [1 files] || var(--chat-rail-tooltip-bg, var(--opaque-panel-bg, rgb(14, 20, 32))) [1 files]"
--input-flat-bg,13,10,"var(--mono-input-surface) [2 files] || var(--workspace-elevated-card-bg) [2 files] || var(--documents-elevated-bg) [1 files] || #000 [1 files] || rgba(8, 9, 12, 0.68) [1 files]"
--input-flat-bg-hover,13,10,"var(--mono-input-surface-hover) [2 files] || var(--workspace-elevated-card-bg) [2 files] || var(--documents-elevated-bg) [1 files] || #000 [1 files] || rgba(12, 13, 16, 0.76) [1 files]"
--chat-tools-item-hover-bg,13,9,"var(--opaque-panel-bg-hover, var(--input-bg-hover)) [1 files] || rgba(255, 234, 0, 0.14) [2 files] || var(--mono-tooltip-surface-hover) [1 files] || var(--opaque-panel-bg-hover, rgba(255, 255, 255, 1)) [1 files] || var(--mono-tooltip-surface-hover, rgba(54, 54, 54, 0.74)) [1 files]"
--documents-agent-composer-bg-hover,13,8,"var(--documents-agent-composer-bg) [1 files] || color-mix(in srgb, var(--documents-glass-surface) 95%, transparent) [1 files] || var(--documents-glass-surface) [1 files] || rgba(34, 34, 34, 0.76) [1 files] || rgba(14, 20, 32, 0.5) [1 files]"
--documents-agent-thread-bg,13,8,"color-mix(in srgb, var(--documents-glass-surface) 84%, transparent) [1 files] || var(--documents-glass-surface) [1 files] || rgba(24, 24, 24, 0.7) [1 files] || rgba(8, 14, 24, 0.72) [1 files] || color-mix(in srgb, var(--documents-glass-surface) 90%, transparent) [1 files]"
--documents-muted-bg,13,8,"color-mix(in srgb, var(--documents-glass-surface) 80%, transparent) [1 files] || var(--documents-glass-surface) [1 files] || rgba(34, 34, 34, 0.62) [1 files] || rgba(9, 14, 24, 0.5) [1 files] || color-mix(in srgb, var(--panel-secondary-bg) 94%, transparent) [1 files]"
--documents-agent-composer-bg,13,7,"color-mix(in srgb, var(--documents-glass-surface) 90%, transparent) [1 files] || color-mix(in srgb, var(--documents-glass-surface) 96%, transparent) [1 files] || var(--documents-glass-surface) [1 files] || rgba(28, 28, 28, 0.72) [1 files] || rgba(14, 20, 32, 0.42) [1 files]"
--documents-agent-stage-bg,13,7,"color-mix(in srgb, var(--documents-glass-surface) 88%, transparent) [1 files] || color-mix(in srgb, var(--documents-glass-surface) 94%, transparent) [1 files] || var(--documents-glass-surface) [1 files] || rgba(27, 27, 27, 0.68) [1 files] || rgba(9, 14, 24, 0.56) [1 files]"
--documents-card-bg,13,7,"color-mix(in srgb, var(--documents-glass-surface) 92%, transparent) [1 files] || var(--documents-glass-surface) [2 files] || rgba(30, 30, 30, 0.64) [1 files] || rgba(9, 14, 24, 0.62) [1 files] || color-mix(in srgb, var(--documents-glass-surface) 98%, transparent) [1 files]"
--documents-subpanel-bg,13,7,"color-mix(in srgb, var(--documents-glass-surface) 88%, transparent) [1 files] || var(--documents-glass-surface) [2 files] || rgba(28, 28, 28, 0.64) [1 files] || rgba(9, 14, 24, 0.58) [1 files] || color-mix(in srgb, var(--documents-glass-surface) 96%, transparent) [1 files]"
--input-caret,13,6,var(--hc-accent) [3 files] || #1f2937 [1 files] || var(--subpage-card-text) [1 files] || #2f3a4a [1 files] || var(--mono-icon) [1 files]
--documents-dropdown-bg,12,12,"var(--chat-tools-panel-bg, rgba(18, 26, 40, 0.96)) [1 files] || var(--chat-tools-panel-bg, rgb(249, 249, 248)) [1 files] || var(--chat-tools-panel-bg, var(--mid-utility-panel-bg)) [1 files] || var(--chat-tools-panel-bg, rgb(18, 26, 40)) [1 files] || rgba(31, 33, 38, 0.99) [1 files]"
--documents-dropdown-shadow,12,11,"0 12px 26px rgba(2, 6, 16, 0.24) [1 files] || var(--btn-primary-shadow, 0 14px 28px rgba(0, 0, 0, 0.22)) [1 files] || var(--btn-primary-shadow, 0 12px 28px rgba(15, 23, 42, 0.12)) [1 files] || var(--btn-primary-shadow, 0 12px 26px rgba(31, 23, 22, 0.14)) [1 files] || 0 12px 26px rgba(0, 0, 0, 0.18) [1 files]"
--documents-dropdown-bg-hover,12,10,"var(--opaque-panel-bg-hover, var(--input-bg-hover)) [1 files] || var(--documents-dropdown-bg) [1 files] || var(--opaque-panel-bg-hover, rgba(24, 34, 50, 0.98)) [1 files] || var(--opaque-panel-bg-hover, rgba(255, 252, 251, 0.99)) [1 files] || rgba(24, 34, 50, 0.98) [1 files]"
--documents-dropdown-item-bg-hover,12,9,"var(--opaque-panel-bg-hover, var(--input-bg-hover)) [1 files] || var(--documents-dropdown-item-bg) [1 files] || rgba(26, 37, 55, 0.98) [1 files] || var(--opaque-panel-bg-hover, rgba(26, 37, 55, 0.98)) [1 files] || var(--opaque-panel-bg-hover, rgba(255, 255, 255, 1)) [1 files]"
--drawer-glass-bg,12,9,"var(--glass-ring-surface-bg) [4 files] || var(--home-panel-bg, rgba(251, 249, 246, 0.93)) [1 files] || var(--home-panel-bg, rgba(203, 190, 186, 0.79)) [1 files] || var(--home-panel-bg, rgba(16, 19, 24, 0.84)) [1 files] || var(--home-panel-bg, rgba(12, 17, 27, 0.86)) [1 files]"
--opaque-panel-shadow,12,9,"var(--subpage-card-shadow) [1 files] || var(--btn-primary-shadow) [2 files] || 0 16px 32px rgba(0, 0, 0, 0.38) [1 files] || 0 12px 26px rgba(0, 0, 0, 0.18) [1 files] || 0 10px 24px rgba(var(--dark-black-rgb), 0.2) [1 files]"
--rail-tooltip-border,12,8,"var(--subpage-card-border) [4 files] || rgba(214, 214, 214, 0.11) [2 files] || var(--chat-invite-list-border, transparent) [1 files] || rgba(255, 255, 255, 0.16) [1 files] || rgba(150, 180, 218, 0.13) [1 files]"
--rail-tooltip-shadow,12,8,"var(--subpage-card-shadow) [3 files] || var(--btn-primary-shadow) [2 files] || none [2 files] || var(--chat-invite-shadow, 0 12px 24px rgba(82, 50, 46, 0.08)) [1 files] || 0 12px 26px rgba(2, 6, 16, 0.24) [1 files]"
