category,value,count,file_count,example_files
rgb,"rgba(0, 0, 0, 0.14)",31,12,app/styles/components/selected-listing.css | app/styles/components/workspace-help-listings.css | app/styles/features/documents/agent.css | app/styles/features/home/themes.css | app/styles/features/policy/pages.css | app/styles/features/policy/responsive.css | app/styles/features/profile/mobile.css | app/styles/features/service-map/desktop/pre-inquiry-agent.css
rgb,"rgba(255, 255, 255, 0.06)",30,8,app/styles/features/documents/workspace.css | app/styles/features/home/themes.css | app/styles/features/service-map/desktop/base.css | app/styles/tokens.css | components/chat/WorkspacePanel.module.css | components/covision/CovisionPage.module.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css | components/wellbeing/WellbeingPage.module.css
rgb,"rgba(255, 234, 0, 0.12)",29,11,app/styles/features/chat/shell.css | app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css | app/styles/features/service-map/desktop/base.css | app/styles/shared/register.css | app/styles/shared/ui-glow.css | app/styles/theme/hc.css | components/covision/CovisionPage.module.css
rgb,"rgba(255, 234, 0, 0.1)",28,7,app/styles/features/documents/ui.css | app/styles/shared/register.css | app/styles/shared/ui-glow.css | app/styles/theme/hc.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css | components/ui/BorderGlow.module.css | components/wellbeing/WellbeingPage.module.css
rgb,"rgba(255, 255, 255, 0.08)",27,15,app/styles/base/backgrounds.css | app/styles/components/workspace-help-listings.css | app/styles/features/chat/help-listings-modal-surfaces.css | app/styles/features/documents/agent.css | app/styles/features/documents/workspace.css | app/styles/features/policy/pages.css | app/styles/features/service-map/desktop/base.css | app/styles/shared/glass-subpage.css
rgb,"rgba(255, 234, 0, 0.14)",26,8,app/styles/features/chat/shell.css | app/styles/features/documents/ui.css | app/styles/features/service-map/desktop/popup.css | app/styles/shared/register.css | app/styles/shared/ui-glow.css | app/styles/theme/hc.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css | components/ui/BorderGlow.module.css
rgb,"rgba(0, 0, 0, 0.22)",22,14,app/styles/base/layout.css | app/styles/features/chat/shell.css | app/styles/features/documents/workspace.css | app/styles/features/register/coarse-pointer.css | app/styles/features/service-map/desktop/base.css | app/styles/shared/login-a11y.css | app/styles/theme/dark.css | app/styles/theme/hc.css
rgb,"rgba(222, 236, 255, 0)",22,4,app/styles/features/chat/hc.css | app/styles/features/chat/shell.css | app/styles/theme/hc.css | app/styles/theme/night.css
rgb,"rgba(0, 0, 0, 0.08)",21,8,app/styles/components/selected-listing.css | app/styles/components/workspace-help-listings.css | app/styles/features/chat/help-listings-modal-surfaces.css | app/styles/features/policy/pages.css | app/styles/features/policy/responsive.css | app/styles/shared/ui-glow.css | app/styles/shared/workspace-guide.css | components/ui/BorderGlow.module.css
rgb,"rgba(var(--hc-accent-rgb),0.72)",20,1,app/styles/theme/hc.css
rgb,"rgba(var(--hc-accent-rgb),0.66)",20,1,app/styles/theme/hc.css
